     epc,     tst_a,     tst_l, time_epch,time_btch,time_send,time_recv,time_ugrd,time_ubnl,time_eval,time_logw,time_chck,        lr
       1,0.48790000,  220.1250,    197.67,  0.23793,  0.00990,  0.18162,  0.03736,  3.90969,  3.39438,  0.41793,  0.03000,0.05000000
       2,0.60810000,  173.1237,    188.27,  0.22625,  0.00877,  0.17833,  0.03729,  3.79146,  3.45088,  0.41990,  0.03200,0.05000000
       3,0.66890000,  147.1381,    188.02,  0.22589,  0.00858,  0.17725,  0.03765,  3.84780,  3.42526,  0.47903,  0.03000,0.05000000
       4,0.71210000,  127.7951,    187.59,  0.22541,  0.00842,  0.17654,  0.03786,  3.83900,  3.39696,  0.48723,  0.03000,0.05000000
       5,0.75970000,  107.5959,    187.89,  0.22561,  0.00865,  0.17793,  0.03690,  3.95012,  3.41585,  0.44655,  0.03400,0.05000000
       6,0.76780000,  105.6631,    199.16,  0.23609,  0.00840,  0.18048,  0.04522,  4.90102,  5.35687,  0.42260,  0.03159,0.05000000
       7,0.79500000,   92.7597,    197.90,  0.23445,  0.00836,  0.17774,  0.04595,  5.00157,  5.31167,  0.46788,  0.03000,0.05000000
       8,0.81620000,   84.2068,    191.19,  0.22953,  0.00851,  0.18076,  0.03782,  4.11147,  3.42315,  0.47320,  0.03300,0.05000000
       9,0.82210000,   81.3397,    196.68,  0.23622,  0.00878,  0.18704,  0.03719,  4.10777,  3.56389,  0.53330,  0.03011,0.05000000
      10,0.82930000,   79.0380,    194.87,  0.23445,  0.00851,  0.18582,  0.03741,  3.81321,  3.43546,  0.44958,  0.06500,0.05000000
      11,0.83960000,   73.7465,    195.89,  0.23552,  0.00869,  0.18683,  0.03753,  3.98119,  3.45371,  0.46937,  0.03400,0.05000000
      12,0.83940000,   73.5581,    194.69,  0.23426,  0.00865,  0.18559,  0.03760,  3.87779,  3.40342,  0.49531,  0.00000,0.05000000
      13,0.84810000,   70.0477,    197.27,  0.23751,  0.00851,  0.18841,  0.03779,  3.82066,  3.40976,  0.48569,  0.03201,0.05000000
      14,0.86170000,   64.6623,    193.42,  0.23272,  0.00836,  0.18443,  0.03740,  3.77727,  3.43564,  0.45405,  0.03103,0.05000000
      15,0.85960000,   63.3734,    197.58,  0.23797,  0.00852,  0.18898,  0.03761,  3.76796,  3.43179,  0.49012,  0.00000,0.05000000
      16,0.86170000,   63.3905,    201.12,  0.24241,  0.00860,  0.19216,  0.03900,  3.76887,  3.41453,  0.46885,  0.00000,0.05000000
      17,0.86380000,   62.5023,    198.28,  0.23877,  0.00857,  0.19043,  0.03744,  3.80379,  3.42530,  0.46518,  0.03067,0.05000000
      18,0.87470000,   58.3879,    199.22,  0.23934,  0.00853,  0.19086,  0.03773,  4.14690,  3.57471,  0.42855,  0.03100,0.05000000
      19,0.86770000,   59.6690,    197.49,  0.23748,  0.00856,  0.18888,  0.03759,  4.03874,  3.46597,  0.45966,  0.00000,0.05000000
      20,0.87880000,   56.8970,    202.32,  0.24354,  0.00866,  0.19383,  0.03832,  3.88582,  3.53349,  0.55973,  0.06103,0.05000000
      21,0.87510000,   58.0328,    202.40,  0.24366,  0.00906,  0.19432,  0.03777,  4.03730,  3.43524,  0.48651,  0.00000,0.05000000
      22,0.88040000,   55.0887,    201.07,  0.24197,  0.00884,  0.19214,  0.03781,  3.95681,  3.50195,  0.48827,  0.03500,0.05000000
      23,0.88560000,   52.7740,    198.83,  0.23930,  0.00884,  0.19019,  0.03782,  3.89053,  3.46599,  0.46281,  0.03100,0.05000000
      24,0.88290000,   53.7345,    205.40,  0.24734,  0.00886,  0.19775,  0.03786,  3.95739,  3.56941,  0.52495,  0.00000,0.05000000
      25,0.88680000,   52.0191,    200.68,  0.24141,  0.00853,  0.19210,  0.03796,  3.99614,  3.52325,  0.48640,  0.03000,0.05000000
      26,0.89320000,   50.9263,    201.14,  0.24217,  0.00882,  0.19283,  0.03765,  3.88467,  3.48454,  0.48967,  0.03554,0.05000000
