 param_v,     stp,     trn_a,     trn_l, time_send, time_recv, time_calc, time_eval,     grd_n
       0,       1,0.07812500,    2.3612,   0.32400,   0.91638,   3.02868,   0.01300,    1.3362
       0,       2,0.09375000,    2.3704,   0.23718,   0.00000,   0.12400,   0.00500,    2.3473
       0,       3,0.03125000,    2.3618,   0.27600,   0.00000,   0.16627,   0.01184,    3.0933
       0,       4,0.12500000,    2.3719,   0.20400,   0.00000,   0.14000,   0.04300,    3.7845
       0,       5,0.07812500,    2.3115,   0.28262,   0.00000,   0.17473,   0.01300,    4.5197
      11,       6,0.07812500,    2.3435,   0.22703,   0.12998,   0.16201,   0.00400,    5.3131
      11,       7,0.12500000,    2.3098,   0.32300,   0.00000,   0.14870,   0.00800,    5.3222
      11,       8,0.07812500,    2.3277,   0.33300,   0.00000,   0.19600,   0.00500,    5.9747
      11,       9,0.15625000,    2.3160,   0.29363,   0.00000,   0.23170,   0.01100,    6.1944
      11,      10,0.06250000,    2.2901,   0.25722,   0.00000,   0.19700,   0.01100,    6.5526
      22,      11,0.15625000,    2.2445,   0.32100,   0.17566,   0.22000,   0.01600,    7.7125
      22,      12,0.15625000,    2.3029,   0.22533,   0.00000,   0.17099,   0.00600,    6.8872
      22,      13,0.18750000,    2.2649,   0.23203,   0.00000,   0.15266,   0.04663,    7.2567
      22,      14,0.10937500,    2.3143,   0.21808,   0.00000,   0.19405,   0.01201,    7.1203
      22,      15,0.12500000,    2.2696,   0.25066,   0.00000,   0.18396,   0.01352,    7.5711
      34,      16,0.20312500,    2.1906,   0.33894,   0.17981,   0.22729,   0.01261,    7.8366
      34,      17,0.17187500,    2.2034,   0.20808,   0.00000,   0.13167,   0.01002,    8.5931
      34,      18,0.18750000,    2.2406,   0.28858,   0.00000,   0.24326,   0.01100,    7.9778
      34,      19,0.25000000,    2.1317,   0.28199,   0.00000,   0.24673,   0.01152,    8.0871
      34,      20,0.10937500,    2.2266,   0.26552,   0.00000,   0.11214,   0.00400,    9.7394
      45,      21,0.23437500,    1.9677,   0.27493,   0.17895,   0.24332,   0.01103,    8.2031
      45,      22,0.23437500,    2.0625,   0.22004,   0.00000,   0.19078,   0.01151,    8.6457
      45,      23,0.31250000,    2.0014,   0.26632,   0.00000,   0.12274,   0.00400,    7.8188
      45,      24,0.20312500,    2.2611,   0.25852,   0.00000,   0.22787,   0.01051,    8.9811
      45,      25,0.17187500,    2.4035,   0.19877,   0.00000,   0.18578,   0.01358,    9.0008
      55,      26,0.20312500,    2.1551,   0.27742,   0.15996,   0.23765,   0.01500,    9.1307
      55,      27,0.21875000,    2.0032,   0.23560,   0.00000,   0.26039,   0.01200,    8.9860
      55,      28,0.20312500,    2.1615,   0.23960,   0.00000,   0.19907,   0.01200,    9.0333
      55,      29,0.23437500,    2.1818,   0.32700,   0.00000,   0.11600,   0.00600,    8.9621
      55,      30,0.25000000,    2.1081,   0.16700,   0.00000,   0.22600,   0.01200,    9.4798
      66,      31,0.17187500,    2.1671,   0.31124,   0.20729,   0.24400,   0.01200,    9.1232
      66,      32,0.18750000,    2.2090,   0.23956,   0.00000,   0.10900,   0.00400,   10.0877
      66,      33,0.20312500,    2.2688,   0.25900,   0.00000,   0.13398,   0.00500,    9.3937
      66,      34,0.23437500,    2.1347,   0.28801,   0.00000,   0.20599,   0.00600,    9.4825
      66,      35,0.35937500,    1.9673,   0.29500,   0.00000,   0.23292,   0.01300,   10.0473
