      epc,    tst_a,     tst_l,time_epch,time_btch,time_send,time_recv,time_ugrd,time_ubnl,time_eval,time_logw,time_chck,        lr
       1,0.48960000,  217.0636, 139.59790,  0.17176,  0.02977,  0.09250,  0.04927,  1.58353,  3.69665,  0.16700,  0.00000,0.10000000
       2,0.64520000,  156.6662, 128.11389,  0.15723,  0.03007,  0.08101,  0.04572,  1.44764,  3.70917,  0.33200,  0.00000,0.10000000
       3,0.72350000,  122.5815, 132.00625,  0.16222,  0.03001,  0.09666,  0.03512,  1.44847,  3.70549,  0.32600,  0.00000,0.10000000
       4,0.78020000,  101.4464, 142.05182,  0.17507,  0.02890,  0.12644,  0.01928,  1.46059,  3.68485,  0.35000,  0.00000,0.10000000
       5,0.78300000,   98.7185, 148.55730,  0.18343,  0.02850,  0.14098,  0.01349,  1.41758,  3.69318,  0.35951,  0.00000,0.10000000
       6,0.80990000,   88.1358, 154.92773,  0.19160,  0.02838,  0.15145,  0.01133,  1.41256,  3.68615,  0.33726,  0.00000,0.10000000
       7,0.82850000,   79.9700, 154.51865,  0.19110,  0.02838,  0.15093,  0.01136,  1.40704,  3.67116,  0.33100,  0.00000,0.10000000
       8,0.83320000,   76.7548, 154.62533,  0.19129,  0.02826,  0.15128,  0.01130,  1.35242,  3.68377,  0.34408,  0.00000,0.10000000
       9,0.83950000,   74.1886, 154.09240,  0.19052,  0.02837,  0.15026,  0.01147,  1.42537,  3.67838,  0.32900,  0.00000,0.10000000
      10,0.84870000,   70.5670, 153.25242,  0.18941,  0.02837,  0.14878,  0.01182,  1.46105,  3.64447,  0.32922,  0.03000,0.10000000
      11,0.85630000,   67.4178, 154.52611,  0.19105,  0.02847,  0.15065,  0.01149,  1.44003,  3.68695,  0.33461,  0.00000,0.10000000
      12,0.85990000,   65.9139, 154.61649,  0.19116,  0.02937,  0.14980,  0.01155,  1.44233,  3.68634,  0.33583,  0.00000,0.10000000
      13,0.84360000,   72.1073, 154.24190,  0.19075,  0.03010,  0.14894,  0.01127,  1.44213,  3.63024,  0.34700,  0.00000,0.10000000
      14,0.85570000,   66.0603, 154.97925,  0.19167,  0.03027,  0.14972,  0.01123,  1.44902,  3.63938,  0.35200,  0.00000,0.10000000
      15,0.86080000,   62.5297, 155.29569,  0.19206,  0.03123,  0.14926,  0.01111,  1.43879,  3.66638,  0.34800,  0.00000,0.10000000
      16,0.86780000,   61.4771, 154.79804,  0.19139,  0.03169,  0.14781,  0.01144,  1.46233,  3.66985,  0.33773,  0.00000,0.10000000
      17,0.86210000,   62.8078, 154.65148,  0.19119,  0.03160,  0.14738,  0.01175,  1.49605,  3.64727,  0.34900,  0.00000,0.10000000
      18,0.87880000,   56.6172, 154.21557,  0.19065,  0.03126,  0.14725,  0.01170,  1.46667,  3.66368,  0.33440,  0.00000,0.10000000
      19,0.87930000,   56.4017, 154.59748,  0.19113,  0.03169,  0.14771,  0.01127,  1.45861,  3.67842,  0.35068,  0.00000,0.10000000
      20,0.87610000,   58.7365, 154.79645,  0.19133,  0.03171,  0.14775,  0.01143,  1.51429,  3.62902,  0.33400,  0.02950,0.10000000
      21,0.87660000,   57.3327, 154.73643,  0.19137,  0.03176,  0.14759,  0.01159,  1.43932,  3.64719,  0.32595,  0.00000,0.10000000
      22,0.88720000,   52.2911, 154.67559,  0.19122,  0.03181,  0.14757,  0.01137,  1.47998,  3.65816,  0.36400,  0.00000,0.10000000
