     stp,     trn_a,     trn_l, time_send, time_recv, time_calc, time_eval,     grd_n,        cr
       1,0.07812500,    2.4460,   0.08400,   3.86399,   2.05964,   0.02900,    6.2608,0.50000000
       2,0.09375000,    2.4100,   0.06100,   0.08218,   0.10500,   0.00500,    6.6256,0.50000000
       3,0.12500000,    2.2940,   0.10500,   0.11600,   0.16008,   0.03100,    6.6071,0.50000000
       4,0.15625000,    2.2950,   0.10709,   0.07800,   0.16100,   0.02600,    6.5589,0.50000000
       5,0.06250000,    2.3375,   0.10600,   0.07700,   0.11400,   0.05000,    6.6226,0.50000000
       6,0.17187500,    2.2375,   0.06097,   0.08001,   0.10399,   0.00500,    6.5786,0.50000000
       7,0.12500000,    2.2414,   0.11712,   0.11700,   0.12100,   0.04500,    6.5845,0.50000000
       8,0.15625000,    2.1251,   0.06000,   0.08100,   0.10600,   0.00400,    6.5318,0.50000000
       9,0.21875000,    2.1807,   0.10300,   0.09600,   0.10300,   0.00400,    6.5559,0.50000000
      10,0.20312500,    2.1058,   0.13659,   0.13900,   0.12300,   0.01300,    6.5456,0.50000000
      11,0.17187500,    2.2590,   0.05700,   0.07800,   0.10800,   0.00500,    6.5514,0.50000000
      12,0.12500000,    2.2280,   0.10500,   0.08999,   0.10900,   0.00400,    6.5333,0.50000000
      13,0.21875000,    2.1923,   0.10963,   0.14000,   0.12000,   0.02400,    6.5665,0.50000000
      14,0.25000000,    2.0512,   0.05800,   0.07800,   0.11200,   0.00400,    6.5013,0.50000000
      15,0.15625000,    2.1909,   0.10500,   0.09100,   0.11400,   0.00400,    6.5557,0.50000000
      16,0.18750000,    2.3542,   0.08212,   0.12700,   0.11800,   0.00700,    6.5073,0.50000000
      17,0.20312500,    2.0775,   0.08300,   0.12700,   0.12500,   0.00600,    6.5064,0.50000000
      18,0.25000000,    1.9626,   0.08200,   0.12900,   0.14300,   0.00700,    6.4447,0.50000000
      19,0.21875000,    2.0975,   0.10900,   0.12400,   0.13056,   0.00500,    6.4717,0.50000000
      20,0.26562500,    2.0485,   0.10700,   0.13600,   0.10900,   0.00800,    6.4653,0.50000000
      21,0.26562500,    1.9359,   0.05900,   0.08900,   0.11100,   0.00400,    6.4574,0.50000000
      22,0.29687500,    2.0974,   0.10006,   0.09100,   0.11511,   0.00400,    6.3761,0.50000000
      23,0.17187500,    1.9913,   0.13300,   0.13952,   0.12200,   0.00900,    6.4710,0.50000000
      24,0.17187500,    2.0522,   0.12600,   0.07800,   0.11300,   0.01000,    6.4434,0.50000000
      25,0.25000000,    2.1193,   0.10200,   0.07500,   0.12711,   0.04800,    6.4849,0.50000000
      26,0.20312500,    2.0187,   0.13701,   0.07500,   0.11500,   0.00700,    6.3628,0.50000000
      27,0.23437500,    1.9914,   0.10400,   0.07800,   0.10700,   0.00700,    6.3382,0.50000000
      28,0.18750000,    2.2785,   0.09900,   0.08269,   0.10901,   0.00800,    6.2295,0.50000000
      29,0.28125000,    2.0860,   0.06000,   0.08400,   0.10900,   0.00500,    6.2366,0.50000000
      30,0.34375000,    2.0702,   0.07700,   0.09600,   0.08800,   0.00400,    6.3317,0.50000000
      31,0.23437500,    2.2617,   0.08202,   0.13700,   0.09458,   0.00399,    6.3463,0.50000000
